Transmitter,serial_number,fish_name,fl,tl,wt,release_site,release_location,release_date,time_surgery,time_under_anaesthesia,tag_general,tag_lifespan,min_ping,max_ping,tag_family,step1_status,step1_time,step2_status,step2_time,step3_status,step3_time
A69-1604-42345,1617104,Bubbles,141,155,37.7,LK2,lake,10/17/2024,3 mins,180s,Winter 204/2025,121,130,230,V6-2x-BLU-1,OFF,40 00:00:00,ON,81 00:00:00,OFF,0 00:00:00
A69-1604-42346,1617105,Auntie Freeze,130,144,26.1,LK2,lake,10/17/2024,4 mins,220s,Winter 204/2025,121,130,230,V6-2x-BLU-1,OFF,40 00:00:00,ON,81 00:00:00,OFF,0 00:00:00
A69-1604-42347,1617106,Uncle Freeze,132,147,26.2,LK2,lake,10/17/2024,2 mins,120s,Winter 204/2025,121,130,230,V6-2x-BLU-1,OFF,40 00:00:00,ON,81 00:00:00,OFF,0 00:00:00
A69-1604-42350,1617109,Dolly,152,167,44.2,LK2,lake,10/18/2024,3 mins,180s,Winter 204/2025,121,130,230,V6-2x-BLU-1,OFF,40 00:00:00,ON,81 00:00:00,OFF,0 00:00:00
A69-1604-34899,1594943,Ricardo,126,141,28.2,LK3,lake,04/27/2024,4 mins,200s,Spring 2024,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-34900,1594944,Matthew,153,167,45.9,LK3,lake,04/26/2024,4 mins,260s,Spring 2024,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-34902,1594946,Michelle,130,143,27.5,LK3,lake,04/26/2024,2.5 mins,120s,Spring 2024,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-34908,1594952,Keith,125,139,25.2,LK3,lake,04/28/2024,4 mins,120s,Spring 2024,62,80,160,V6-2x-BLU-1,ON,62 00:00:00,OFF,0 00:00:00,OFF,0 00:00:00
A69-1604-37697,1594953,Neena,128,141,25.8,LK3,lake,04/28/2024,4 mins,200s,Summer 2024,116,80,160,V6-2x-BLU-1,OFF,62 00:00:00,ON,54 00:00:00,OFF,0 00:00:00
A69-1604-37698,1594954,Charlotte,129,143,24.9,LK3,lake,04/28/2024,3 mins,120s,Summer 2024,116,80,160,V6-2x-BLU-1,OFF,62 00:00:00,ON,54 00:00:00,OFF,0 00:00:00
